dataset,encoder,representation,k_shot,n_way,q_query,episodes,seed,accuracy_mean,ci95,notes
asl_alphabet,mlp,raw,1,5,15,600,42,0.880644,0.007715,no-pretrain
asl_alphabet,mlp,raw,3,5,15,600,42,0.936644,0.005325,no-pretrain
asl_alphabet,mlp,raw,5,5,15,600,42,0.944689,0.004815,no-pretrain
asl_alphabet,mlp,angle,1,5,15,600,42,0.8222,0.008989,no-pretrain
asl_alphabet,mlp,angle,3,5,15,600,42,0.874,0.007065,no-pretrain
asl_alphabet,mlp,angle,5,5,15,600,42,0.887667,0.006131,no-pretrain
asl_alphabet,mlp,raw_angle,1,5,15,600,42,0.900644,0.007117,no-pretrain
asl_alphabet,mlp,raw_angle,3,5,15,600,42,0.947622,0.004451,no-pretrain
asl_alphabet,mlp,raw_angle,5,5,15,600,42,0.951578,0.003971,no-pretrain
asl_alphabet,transformer,raw,1,5,15,600,42,0.727533,0.010192,no-pretrain
asl_alphabet,transformer,raw,3,5,15,600,42,0.796289,0.008845,no-pretrain
asl_alphabet,transformer,raw,5,5,15,600,42,0.809311,0.008248,no-pretrain
asl_alphabet,transformer,angle,1,5,15,600,42,0.817156,0.009005,no-pretrain
asl_alphabet,transformer,angle,3,5,15,600,42,0.869556,0.007354,no-pretrain
asl_alphabet,transformer,angle,5,5,15,600,42,0.883444,0.006462,no-pretrain
asl_alphabet,transformer,raw_angle,1,5,15,600,42,0.903444,0.006941,no-pretrain
asl_alphabet,transformer,raw_angle,3,5,15,600,42,0.949,0.004499,no-pretrain
asl_alphabet,transformer,raw_angle,5,5,15,600,42,0.954089,0.003974,no-pretrain
asl_alphabet,gcn,raw,1,5,15,600,42,0.861311,0.007793,no-pretrain
asl_alphabet,gcn,raw,3,5,15,600,42,0.925356,0.005378,no-pretrain
asl_alphabet,gcn,raw,5,5,15,600,42,0.934711,0.004883,no-pretrain
asl_alphabet,gcn,angle,1,5,15,600,42,nan,nan,SKIPPED: incompatible encoder-representation pair
asl_alphabet,gcn,angle,3,5,15,600,42,nan,nan,SKIPPED: incompatible encoder-representation pair
asl_alphabet,gcn,angle,5,5,15,600,42,nan,nan,SKIPPED: incompatible encoder-representation pair
asl_alphabet,gcn,raw_angle,1,5,15,600,42,nan,nan,SKIPPED: incompatible encoder-representation pair
asl_alphabet,gcn,raw_angle,3,5,15,600,42,nan,nan,SKIPPED: incompatible encoder-representation pair
asl_alphabet,gcn,raw_angle,5,5,15,600,42,nan,nan,SKIPPED: incompatible encoder-representation pair
