dataset,encoder,representation,k_shot,n_way,q_query,episodes,seed,accuracy_mean,ci95,notes
asl_alphabet,mlp,raw,1,5,15,600,42,0.880644,0.007715,no-pretrain
asl_alphabet,mlp,raw,3,5,15,600,42,0.936644,0.005325,no-pretrain
asl_alphabet,mlp,raw,5,5,15,600,42,0.944689,0.004815,no-pretrain
libras_alphabet,mlp,raw,1,5,15,600,42,0.688267,0.009963,no-pretrain
libras_alphabet,mlp,raw,3,5,15,600,42,0.777022,0.00863,no-pretrain
libras_alphabet,mlp,raw,5,5,15,600,42,0.807667,0.008216,no-pretrain
arabic_sign_alphabet,mlp,raw,1,5,15,600,42,0.502578,0.008341,no-pretrain
arabic_sign_alphabet,mlp,raw,3,5,15,600,42,0.587,0.008824,no-pretrain
arabic_sign_alphabet,mlp,raw,5,5,15,600,42,0.616511,0.008327,no-pretrain
asl_alphabet,mlp,angle,1,5,15,600,42,0.8222,0.008989,no-pretrain
asl_alphabet,mlp,angle,3,5,15,600,42,0.874,0.007065,no-pretrain
asl_alphabet,mlp,angle,5,5,15,600,42,0.887667,0.006131,no-pretrain
libras_alphabet,mlp,angle,1,5,15,600,42,0.887956,0.007343,no-pretrain
libras_alphabet,mlp,angle,3,5,15,600,42,0.9286,0.005794,no-pretrain
libras_alphabet,mlp,angle,5,5,15,600,42,0.947489,0.004556,no-pretrain
arabic_sign_alphabet,mlp,angle,1,5,15,600,42,0.820267,0.008524,no-pretrain
arabic_sign_alphabet,mlp,angle,3,5,15,600,42,0.890111,0.006433,no-pretrain
arabic_sign_alphabet,mlp,angle,5,5,15,600,42,0.905978,0.005569,no-pretrain
asl_alphabet,mlp,raw_angle,1,5,15,600,42,0.900644,0.007117,no-pretrain
asl_alphabet,mlp,raw_angle,3,5,15,600,42,0.947622,0.004451,no-pretrain
asl_alphabet,mlp,raw_angle,5,5,15,600,42,0.951578,0.003971,no-pretrain
libras_alphabet,mlp,raw_angle,1,5,15,600,42,0.706578,0.009897,no-pretrain
libras_alphabet,mlp,raw_angle,3,5,15,600,42,0.816222,0.008298,no-pretrain
libras_alphabet,mlp,raw_angle,5,5,15,600,42,0.845511,0.007397,no-pretrain
arabic_sign_alphabet,mlp,raw_angle,1,5,15,600,42,0.537422,0.008929,no-pretrain
arabic_sign_alphabet,mlp,raw_angle,3,5,15,600,42,0.642644,0.009094,no-pretrain
arabic_sign_alphabet,mlp,raw_angle,5,5,15,600,42,0.685489,0.008848,no-pretrain
asl_alphabet,transformer,raw,1,5,15,600,42,0.727533,0.010192,no-pretrain
asl_alphabet,transformer,raw,3,5,15,600,42,0.796289,0.008845,no-pretrain
asl_alphabet,transformer,raw,5,5,15,600,42,0.809311,0.008248,no-pretrain
libras_alphabet,transformer,raw,1,5,15,600,42,0.606911,0.009273,no-pretrain
libras_alphabet,transformer,raw,3,5,15,600,42,0.6444,0.009591,no-pretrain
libras_alphabet,transformer,raw,5,5,15,600,42,0.670311,0.009687,no-pretrain
arabic_sign_alphabet,transformer,raw,1,5,15,600,42,0.439089,0.009142,no-pretrain
arabic_sign_alphabet,transformer,raw,3,5,15,600,42,0.470067,0.009814,no-pretrain
arabic_sign_alphabet,transformer,raw,5,5,15,600,42,0.484511,0.009215,no-pretrain
asl_alphabet,transformer,angle,1,5,15,600,42,0.817156,0.009005,no-pretrain
asl_alphabet,transformer,angle,3,5,15,600,42,0.869556,0.007354,no-pretrain
asl_alphabet,transformer,angle,5,5,15,600,42,0.883444,0.006462,no-pretrain
libras_alphabet,transformer,angle,1,5,15,600,42,0.869778,0.007721,no-pretrain
libras_alphabet,transformer,angle,3,5,15,600,42,0.911444,0.006173,no-pretrain
libras_alphabet,transformer,angle,5,5,15,600,42,0.931511,0.004997,no-pretrain
arabic_sign_alphabet,transformer,angle,1,5,15,600,42,0.786333,0.008586,no-pretrain
arabic_sign_alphabet,transformer,angle,3,5,15,600,42,0.863689,0.006859,no-pretrain
arabic_sign_alphabet,transformer,angle,5,5,15,600,42,0.882267,0.006024,no-pretrain
asl_alphabet,transformer,raw_angle,1,5,15,600,42,0.903444,0.006941,no-pretrain
asl_alphabet,transformer,raw_angle,3,5,15,600,42,0.949,0.004499,no-pretrain
asl_alphabet,transformer,raw_angle,5,5,15,600,42,0.954089,0.003974,no-pretrain
libras_alphabet,transformer,raw_angle,1,5,15,600,42,0.718267,0.010273,no-pretrain
libras_alphabet,transformer,raw_angle,3,5,15,600,42,0.816044,0.00839,no-pretrain
libras_alphabet,transformer,raw_angle,5,5,15,600,42,0.845111,0.007839,no-pretrain
arabic_sign_alphabet,transformer,raw_angle,1,5,15,600,42,0.538844,0.009041,no-pretrain
arabic_sign_alphabet,transformer,raw_angle,3,5,15,600,42,0.616178,0.00944,no-pretrain
arabic_sign_alphabet,transformer,raw_angle,5,5,15,600,42,0.644489,0.009124,no-pretrain
