dataset,encoder,representation,k_shot,n_way,q_query,episodes,seed,accuracy_mean,ci95,notes
asl_alphabet,mlp,raw,1,5,15,600,42,0.880644,0.007715,no-pretrain
asl_alphabet,mlp,raw,3,5,15,600,42,0.936644,0.005325,no-pretrain
asl_alphabet,mlp,raw,5,5,15,600,42,0.944689,0.004815,no-pretrain
libras_alphabet,mlp,raw,1,5,15,600,42,0.688267,0.009963,no-pretrain
libras_alphabet,mlp,raw,3,5,15,600,42,0.777022,0.00863,no-pretrain
libras_alphabet,mlp,raw,5,5,15,600,42,0.807667,0.008216,no-pretrain
arabic_sign_alphabet,mlp,raw,1,5,15,600,42,0.502578,0.008341,no-pretrain
arabic_sign_alphabet,mlp,raw,3,5,15,600,42,0.587,0.008824,no-pretrain
arabic_sign_alphabet,mlp,raw,5,5,15,600,42,0.616511,0.008327,no-pretrain
thai_fingerspelling,mlp,raw,1,5,15,600,42,nan,nan,insufficient-samples
thai_fingerspelling,mlp,raw,3,5,15,600,42,nan,nan,insufficient-samples
thai_fingerspelling,mlp,raw,5,5,15,600,42,nan,nan,insufficient-samples
asl_alphabet,mlp,angle,1,5,15,600,42,0.818756,0.008889,no-pretrain
asl_alphabet,mlp,angle,3,5,15,600,42,0.8724,0.007146,no-pretrain
asl_alphabet,mlp,angle,5,5,15,600,42,0.886356,0.006256,no-pretrain
libras_alphabet,mlp,angle,1,5,15,600,42,0.8928,0.007424,no-pretrain
libras_alphabet,mlp,angle,3,5,15,600,42,0.929133,0.005921,no-pretrain
libras_alphabet,mlp,angle,5,5,15,600,42,0.948467,0.004569,no-pretrain
arabic_sign_alphabet,mlp,angle,1,5,15,600,42,0.825533,0.008139,no-pretrain
arabic_sign_alphabet,mlp,angle,3,5,15,600,42,0.892067,0.006549,no-pretrain
arabic_sign_alphabet,mlp,angle,5,5,15,600,42,0.910311,0.005509,no-pretrain
thai_fingerspelling,mlp,angle,1,5,15,600,42,nan,nan,insufficient-samples
thai_fingerspelling,mlp,angle,3,5,15,600,42,nan,nan,insufficient-samples
thai_fingerspelling,mlp,angle,5,5,15,600,42,nan,nan,insufficient-samples
asl_alphabet,mlp,raw_angle,1,5,15,600,42,0.915044,0.006508,no-pretrain
asl_alphabet,mlp,raw_angle,3,5,15,600,42,0.954733,0.004402,no-pretrain
asl_alphabet,mlp,raw_angle,5,5,15,600,42,0.958511,0.003792,no-pretrain
libras_alphabet,mlp,raw_angle,1,5,15,600,42,0.715822,0.010047,no-pretrain
libras_alphabet,mlp,raw_angle,3,5,15,600,42,0.822867,0.00819,no-pretrain
libras_alphabet,mlp,raw_angle,5,5,15,600,42,0.850444,0.007521,no-pretrain
arabic_sign_alphabet,mlp,raw_angle,1,5,15,600,42,0.549244,0.008727,no-pretrain
arabic_sign_alphabet,mlp,raw_angle,3,5,15,600,42,0.656222,0.009265,no-pretrain
arabic_sign_alphabet,mlp,raw_angle,5,5,15,600,42,0.690378,0.008719,no-pretrain
thai_fingerspelling,mlp,raw_angle,1,5,15,600,42,nan,nan,insufficient-samples
thai_fingerspelling,mlp,raw_angle,3,5,15,600,42,nan,nan,insufficient-samples
thai_fingerspelling,mlp,raw_angle,5,5,15,600,42,nan,nan,insufficient-samples
asl_alphabet,transformer,raw,1,5,15,600,42,0.717111,0.010505,no-pretrain
asl_alphabet,transformer,raw,3,5,15,600,42,0.784178,0.008929,no-pretrain
asl_alphabet,transformer,raw,5,5,15,600,42,0.804178,0.008492,no-pretrain
libras_alphabet,transformer,raw,1,5,15,600,42,0.591689,0.009344,no-pretrain
libras_alphabet,transformer,raw,3,5,15,600,42,0.615822,0.009352,no-pretrain
libras_alphabet,transformer,raw,5,5,15,600,42,0.642667,0.009439,no-pretrain
arabic_sign_alphabet,transformer,raw,1,5,15,600,42,0.424689,0.008832,no-pretrain
arabic_sign_alphabet,transformer,raw,3,5,15,600,42,0.442933,0.00959,no-pretrain
arabic_sign_alphabet,transformer,raw,5,5,15,600,42,0.457222,0.008953,no-pretrain
thai_fingerspelling,transformer,raw,1,5,15,600,42,nan,nan,insufficient-samples
thai_fingerspelling,transformer,raw,3,5,15,600,42,nan,nan,insufficient-samples
thai_fingerspelling,transformer,raw,5,5,15,600,42,nan,nan,insufficient-samples
asl_alphabet,transformer,angle,1,5,15,600,42,0.819667,0.008802,no-pretrain
asl_alphabet,transformer,angle,3,5,15,600,42,0.8744,0.007197,no-pretrain
asl_alphabet,transformer,angle,5,5,15,600,42,0.889356,0.006108,no-pretrain
libras_alphabet,transformer,angle,1,5,15,600,42,0.8928,0.007227,no-pretrain
libras_alphabet,transformer,angle,3,5,15,600,42,0.926333,0.005919,no-pretrain
libras_alphabet,transformer,angle,5,5,15,600,42,0.946022,0.004638,no-pretrain
arabic_sign_alphabet,transformer,angle,1,5,15,600,42,0.800556,0.008486,no-pretrain
arabic_sign_alphabet,transformer,angle,3,5,15,600,42,0.875933,0.006819,no-pretrain
arabic_sign_alphabet,transformer,angle,5,5,15,600,42,0.894911,0.005865,no-pretrain
thai_fingerspelling,transformer,angle,1,5,15,600,42,nan,nan,insufficient-samples
thai_fingerspelling,transformer,angle,3,5,15,600,42,nan,nan,insufficient-samples
thai_fingerspelling,transformer,angle,5,5,15,600,42,nan,nan,insufficient-samples
asl_alphabet,transformer,raw_angle,1,5,15,600,42,0.905667,0.006779,no-pretrain
asl_alphabet,transformer,raw_angle,3,5,15,600,42,0.946622,0.004962,no-pretrain
asl_alphabet,transformer,raw_angle,5,5,15,600,42,0.951889,0.004207,no-pretrain
libras_alphabet,transformer,raw_angle,1,5,15,600,42,0.719422,0.010153,no-pretrain
libras_alphabet,transformer,raw_angle,3,5,15,600,42,0.816311,0.008557,no-pretrain
libras_alphabet,transformer,raw_angle,5,5,15,600,42,0.846933,0.007569,no-pretrain
arabic_sign_alphabet,transformer,raw_angle,1,5,15,600,42,0.5444,0.009105,no-pretrain
arabic_sign_alphabet,transformer,raw_angle,3,5,15,600,42,0.627733,0.009431,no-pretrain
arabic_sign_alphabet,transformer,raw_angle,5,5,15,600,42,0.658156,0.008671,no-pretrain
thai_fingerspelling,transformer,raw_angle,1,5,15,600,42,nan,nan,insufficient-samples
thai_fingerspelling,transformer,raw_angle,3,5,15,600,42,nan,nan,insufficient-samples
thai_fingerspelling,transformer,raw_angle,5,5,15,600,42,nan,nan,insufficient-samples
asl_alphabet,gcn,raw,1,5,15,600,42,0.863333,0.007965,no-pretrain
asl_alphabet,gcn,raw,3,5,15,600,42,0.925311,0.005442,no-pretrain
asl_alphabet,gcn,raw,5,5,15,600,42,0.933511,0.005106,no-pretrain
libras_alphabet,gcn,raw,1,5,15,600,42,0.707067,0.010459,no-pretrain
libras_alphabet,gcn,raw,3,5,15,600,42,0.803089,0.008669,no-pretrain
libras_alphabet,gcn,raw,5,5,15,600,42,0.833622,0.008145,no-pretrain
