dataset,encoder,representation,k_shot,n_way,q_query,episodes,seed,accuracy_mean,ci95,notes
thai_fingerspelling,mlp,raw,1,5,15,600,42,0.520044,0.009729,no-pretrain
thai_fingerspelling,mlp,raw,3,5,15,600,42,0.591911,0.009441,no-pretrain
thai_fingerspelling,mlp,raw,5,5,15,600,42,0.623733,0.009071,no-pretrain
thai_fingerspelling,mlp,angle,1,5,15,600,42,0.607556,0.011303,no-pretrain
thai_fingerspelling,mlp,angle,3,5,15,600,42,0.654622,0.009846,no-pretrain
thai_fingerspelling,mlp,angle,5,5,15,600,42,0.674,0.009906,no-pretrain
thai_fingerspelling,mlp,raw_angle,1,5,15,600,42,0.566933,0.010316,no-pretrain
thai_fingerspelling,mlp,raw_angle,3,5,15,600,42,0.6392,0.00966,no-pretrain
thai_fingerspelling,mlp,raw_angle,5,5,15,600,42,0.668978,0.009574,no-pretrain
thai_fingerspelling,transformer,raw,1,5,15,600,42,0.425844,0.009192,no-pretrain
thai_fingerspelling,transformer,raw,3,5,15,600,42,0.460756,0.008985,no-pretrain
thai_fingerspelling,transformer,raw,5,5,15,600,42,0.483444,0.008915,no-pretrain
thai_fingerspelling,transformer,angle,1,5,15,600,42,0.593444,0.011333,no-pretrain
thai_fingerspelling,transformer,angle,3,5,15,600,42,0.646733,0.009819,no-pretrain
thai_fingerspelling,transformer,angle,5,5,15,600,42,0.669644,0.009745,no-pretrain
thai_fingerspelling,transformer,raw_angle,1,5,15,600,42,0.558889,0.010383,no-pretrain
thai_fingerspelling,transformer,raw_angle,3,5,15,600,42,0.6132,0.009875,no-pretrain
thai_fingerspelling,transformer,raw_angle,5,5,15,600,42,0.638333,0.009711,no-pretrain
thai_fingerspelling,gcn,raw,1,5,15,600,42,0.490667,0.009606,no-pretrain
thai_fingerspelling,gcn,raw,3,5,15,600,42,0.559333,0.009165,no-pretrain
thai_fingerspelling,gcn,raw,5,5,15,600,42,0.591267,0.009,no-pretrain
thai_fingerspelling,gcn,angle,1,5,15,600,42,nan,nan,SKIPPED: incompatible encoder-representation pair
thai_fingerspelling,gcn,angle,3,5,15,600,42,nan,nan,SKIPPED: incompatible encoder-representation pair
thai_fingerspelling,gcn,angle,5,5,15,600,42,nan,nan,SKIPPED: incompatible encoder-representation pair
thai_fingerspelling,gcn,raw_angle,1,5,15,600,42,nan,nan,SKIPPED: incompatible encoder-representation pair
thai_fingerspelling,gcn,raw_angle,3,5,15,600,42,nan,nan,SKIPPED: incompatible encoder-representation pair
thai_fingerspelling,gcn,raw_angle,5,5,15,600,42,nan,nan,SKIPPED: incompatible encoder-representation pair
